tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,winner_country,loser_country,winner_lat,winner_long,loser_lat,loser_long
2013-416,Rome Masters,Clay,56,M,2013-05-12,55,104745,5,NA,Rafael Nadal,L,185,ESP,26.9431895962,103819,2,NA,Roger Federer,R,185,SUI,31.7618069815,6-1 6-3,3,FALSE,69,1,1,42,31,22,8,8,1,2,3,0,53,30,17,7,8,1,6,5,6895,3,7760,2013,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
2013-560,US Open,Hard,128,G,2013-08-26,127,104745,2,NA,Rafael Nadal,L,185,ESP,27.2306639288,104925,1,NA,Novak Djokovic,R,188,SRB,26.264202601,6-2 3-6 6-4 6-1,5,FALSE,201,1,1,121,78,51,24,17,8,11,6,2,102,69,40,16,17,5,11,2,8860,1,10980,2013,Spain,Serbia,40.463667,-3.74922,44.016521,21.005859
2013-747,Beijing,Hard,32,A,2013-09-30,31,104925,1,NA,Novak Djokovic,R,188,SRB,26.3600273785,104745,2,NA,Rafael Nadal,L,185,ESP,27.3264887064,6-3 6-4,3,FALSE,87,5,1,46,33,30,10,10,0,0,2,2,60,39,31,7,9,2,4,1,11120,2,10860,2013,Serbia,Spain,44.016521,21.005859,40.463667,-3.74922
2013-605,Tour Finals,Hard,8,F,2013-11-04,515,104925,2,NA,Novak Djokovic,R,188,SRB,26.4558521561,104745,1,NA,Rafael Nadal,L,185,ESP,27.4223134839,6-3 6-4,3,FALSE,96,6,0,58,38,26,14,10,2,3,1,4,61,45,26,8,9,8,11,2,10610,1,12030,2013,Serbia,Spain,44.016521,21.005859,40.463667,-3.74922
2014-404,Indian Wells Masters,Hard,96,M,2014-03-06,95,104925,2,NA,Novak Djokovic,R,188,SRB,26.7816563997,103819,7,NA,Roger Federer,R,185,SUI,32.5667351129,3-6 6-3 7-6(3),3,FALSE,132,6,5,96,62,47,17,15,1,3,6,4,101,64,45,21,15,4,6,2,10260,8,4625,2014,Serbia,Switzerland,44.016521,21.005859,46.818188,8.227512
2014-403,Miami Masters,Hard,96,M,2014-03-19,95,104925,2,NA,Novak Djokovic,R,188,SRB,26.8199863107,104745,1,NA,Rafael Nadal,L,185,ESP,27.7864476386,6-3 6-3,3,FALSE,84,5,0,49,35,30,8,9,1,1,2,1,52,37,22,7,9,1,4,2,10900,1,13130,2014,Serbia,Spain,44.016521,21.005859,40.463667,-3.74922
2014-416,Rome Masters,Clay,56,M,2014-05-11,55,104925,2,NA,Novak Djokovic,R,188,SRB,26.9733059548,104745,1,NA,Rafael Nadal,L,185,ESP,27.9397672827,4-6 6-3 6-3,3,FALSE,139,7,0,72,45,32,15,14,2,6,0,2,93,70,38,10,14,8,14,2,11030,1,12900,2014,Serbia,Spain,44.016521,21.005859,40.463667,-3.74922
2014-520,Roland Garros,Clay,128,G,2014-05-26,127,104745,1,NA,Rafael Nadal,L,185,ESP,27.9780971937,104925,2,NA,Novak Djokovic,R,188,SRB,27.0116358658,3-6 7-5 6-2 6-4,5,FALSE,211,3,4,120,84,61,18,19,6,9,11,3,126,82,59,16,20,4,10,1,12500,2,11850,2014,Spain,Serbia,40.463667,-3.74922,44.016521,21.005859
2014-540,Wimbledon,Grass,128,G,2014-06-23,127,104925,1,NA,Novak Djokovic,R,188,SRB,27.0882956879,103819,4,NA,Roger Federer,R,185,SUI,32.8733744011,6-7(7) 6-4 7-6(4) 5-7 6-4,5,FALSE,236,13,3,174,108,79,43,28,4,7,29,5,192,133,102,26,28,11,15,2,12330,4,4945,2014,Serbia,Switzerland,44.016521,21.005859,46.818188,8.227512
2014-605,Tour Finals,Hard,8,F,2014-11-09,515,104925,1,NA,Novak Djokovic,R,188,SRB,27.4715947981,103819,2,NA,Roger Federer,R,185,SUI,33.2566735113,W/O,3,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10010,2,8700,2014,Serbia,Switzerland,44.016521,21.005859,46.818188,8.227512
