tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,winner_country,loser_country,winner_lat,winner_long,loser_lat,loser_long
2000-890,Shanghai,Hard,32,A,16/10/2000,31,102796,1,NA,Magnus Norman,R,188,SWE,24.38056126,102854,7,NA,Sjeng Schalken,R,193,NED,24.10403833,6-4 4-6 6-3,3,FALSE,149,1,1,96,52,42,23,14,6,7,2,5,91,48,31,27,15,2,5,4,3098,34,1001,2000,Sweden,Netherlands,60.128161,18.643501,52.132633,5.291266
2000-891,Chennai,Hard,32,A,3/1/2000,31,102259,4,NA,Jerome Golmard,L,188,FRA,26.29705681,103082,NA,NA,Markus Hantschk,R,188,GER,22.1026694,6-3 6-7(6) 6-3,3,FALSE,148,8,1,88,65,49,13,14,2,3,10,4,123,74,53,18,16,9,14,NA,NA,NA,NA,2000,France,Germany,46.227638,2.213749,51.165691,10.451526
2000-308,Munich,Clay,32,A,1/5/2000,31,102644,7,NA,Franco Squillari,L,183,ARG,24.69267625,103163,3,NA,Tommy Haas,R,188,GER,22.07802875,6-4 6-4,3,FALSE,76,2,2,53,33,25,13,10,0,1,1,2,60,39,25,10,10,2,5,52,733,19,1230,2000,Argentina,Germany,-38.416097,-63.616672,51.165691,10.451526
2000-314,Gstaad,Clay,32,A,10/7/2000,31,102374,1,NA,Alex Corretja,R,180,ESP,26.2477755,103264,8,NA,Mariano Puerta,L,180,ARG,21.80698152,6-1 6-3,3,FALSE,66,2,0,44,25,21,13,8,1,1,3,2,52,32,19,7,8,3,7,10,1860,23,1086,2000,Spain,Argentina,40.463667,-3.74922,-38.416097,-63.616672
2000-96,Sydney Olympics,Hard,64,A,18/9/2000,63,102338,5,NA,Yevgeny Kafelnikov,R,190,RUS,26.58179329,103163,NA,NA,Tommy Haas,R,188,GER,22.46132786,7-6(4) 3-6 6-2 4-6 6-3,5,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2313,48,814,2000,Russia,Germany,61.52401,105.318756,51.165691,10.451526
2000-416,Rome Masters,Clay,64,M,8/5/2000,63,102796,3,NA,Magnus Norman,R,188,SWE,23.93976728,102856,4,NA,Gustavo Kuerten,R,190,BRA,23.65776865,6-3 4-6 6-4 6-4,5,FALSE,185,14,1,121,81,57,21,20,5,9,15,5,142,68,48,34,19,15,21,4,2314,6,2012,2000,Sweden,Brazil,60.128161,18.643501,-14.235004,-51.92528
2000-414,Hamburg Masters,Clay,64,M,15/5/2000,63,102856,5,NA,Gustavo Kuerten,R,190,BRA,23.67693361,103498,12,NA,Marat Safin,R,193,RUS,20.29842574,6-4 5-7 6-4 5-7 7-6(3),5,FALSE,232,7,1,165,86,64,41,28,4,11,13,2,177,94,66,38,28,4,11,7,1887,14,1387,2000,Brazil,Russia,-14.235004,-51.92528,61.52401,105.318756
2000-410,Monte Carlo Masters,Clay,64,M,17/4/2000,63,101611,8,NA,Cedric Pioline,R,188,FRA,30.83915127,103103,NA,NA,Dominik Hrbaty,R,183,SVK,22.28336756,6-4 7-6(3) 7-6(6),5,FALSE,160,12,5,127,61,48,33,17,7,10,7,7,113,57,42,22,17,4,8,12,1581,24,1080,2000,France,Slovakia,46.227638,2.213749,48.669026,19.699024
2000-418,Washington,Hard,56,A,14/8/2000,55,102374,2,NA,Alex Corretja,R,180,ESP,26.34360027,101736,1,NA,Andre Agassi,R,180,USA,30.29431896,6-2 6-3,3,FALSE,71,9,1,60,29,23,17,9,3,4,0,4,50,27,18,7,8,5,9,8,2108,1,3855,2000,Spain,United States,40.463667,-3.74922,37.09024,-95.712891
2000-419,Indianapolis,Hard,56,A,14/8/2000,55,102856,1,NA,Gustavo Kuerten,R,190,BRA,23.92607803,103498,3,NA,Marat Safin,R,193,RUS,20.54757016,3-6 7-6(2) 7-6(2),3,FALSE,139,1,1,30,13,8,8,4,0,2,4,2,28,13,10,8,5,2,3,2,3285,7,2429,2000,Brazil,Russia,-14.235004,-51.92528,61.52401,105.318756
2000-319,Kitzbuhel,Clay,48,A,24/7/2000,47,102374,2,NA,Alex Corretja,R,180,ESP,26.28610541,102135,NA,NA,Emilio Benfele Alvarez,R,183,ESP,27.68788501,6-3 6-1 3-0 RET,3,FALSE,92,3,2,52,20,17,22,10,1,1,3,1,77,45,23,13,10,8,14,10,1930,150,247,2000,Spain,Spain,40.463667,-3.74922,40.463667,-3.74922
2000-311,Queen's Club,Grass,56,A,12/6/2000,55,103720,6,NA,Lleyton Hewitt,R,180,AUS,19.29637235,101948,2,NA,Pete Sampras,R,185,USA,28.83504449,6-4 6-4,3,FALSE,73,9,4,63,32,25,17,10,0,1,5,2,54,35,23,11,10,0,3,11,1826,4,3106,2000,Australia,United States,-25.274398,133.775136,37.09024,-95.712891
2000-315,Newport,Grass,32,A,10/7/2000,31,103193,NA,NA,Peter Wessels,R,196,NED,22.17659138,102533,NA,NA,Jens Knippschild,R,190,GER,25.39904175,7-6(3) 6-3,3,FALSE,58,10,3,59,47,43,6,11,0,0,6,0,53,30,26,14,10,0,1,133,281,150,246,2000,Netherlands,Germany,52.132633,5.291266,51.165691,10.451526
2000-317,Amsterdam,Clay,32,A,17/7/2000,31,101320,4,NA,Magnus Gustafsson,R,185,SWE,33.53593429,103171,NA,NA,Raemon Sluiter,R,185,NED,22.26146475,6-7(4) 6-3 7-6(5) 6-1,5,FALSE,155,6,4,118,82,71,19,21,0,0,4,2,121,70,46,33,19,3,6,63,674,142,269,2000,Sweden,Netherlands,60.128161,18.643501,52.132633,5.291266
2000-316,Bastad,Clay,32,A,10/7/2000,31,102796,1,NA,Magnus Norman,R,188,SWE,24.11225188,103714,3,NA,Andreas Vinciguerra,L,180,SWE,19.38672142,6-1 7-6(6),3,FALSE,86,3,3,65,39,32,13,10,4,5,1,2,62,36,24,10,9,2,5,2,3495,49,767,2000,Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
2000-481,Copenhagen,Hard,32,A,28/2/2000,31,103714,NA,NA,Andreas Vinciguerra,L,180,SWE,19.02258727,101723,3,NA,Magnus Larsson,R,193,SWE,29.9301848,6-3 7-6(5),3,FALSE,75,4,0,65,37,26,20,10,6,7,8,0,66,39,28,14,11,2,5,80,510,48,768,2000,Sweden,Sweden,60.128161,18.643501,60.128161,18.643501
2000-321,Stuttgart Outdoor,Clay,32,A,17/7/2000,31,102644,5,NA,Franco Squillari,L,183,ARG,24.90349076,103292,NA,NA,Gaston Gaudio,R,175,ARG,21.60438056,6-2 3-6 4-6 6-4 6-2,5,FALSE,228,8,2,130,63,45,38,22,4,9,2,5,168,110,63,32,23,10,18,20,1232,41,884,2000,Argentina,Argentina,-38.416097,-63.616672,-38.416097,-63.616672
2000-451,Doha,Hard,32,A,3/1/2000,31,102148,3,NA,Fabrice Santoro,R,178,FRA,27.04722793,102783,NA,NA,Rainer Schuettler,R,180,GER,23.67145791,3-6 7-5 3-0 RET,3,FALSE,118,3,0,74,44,27,16,12,2,6,1,1,85,61,33,12,13,7,12,NA,NA,NA,NA,2000,France,Germany,46.227638,2.213749,51.165691,10.451526
2000-325,Palermo,Clay,32,A,25/9/2000,31,103694,NA,NA,Olivier Rochus,R,168,BEL,19.68514716,101717,NA,WC,Diego Nargiso,L,188,ITA,30.53251198,7-6(14) 6-1,3,FALSE,119,3,0,73,55,38,7,10,5,8,8,2,82,50,31,10,9,9,14,NA,NA,NA,NA,2000,Belgium,Italy,50.503887,4.469936,41.87194,12.56738
2000-327,Toulouse,Hard,32,A,16/10/2000,31,102374,1,NA,Alex Corretja,R,180,ESP,26.51608487,102845,NA,NA,Carlos Moya,R,190,ESP,24.13689254,6-3 6-2,3,FALSE,70,3,0,43,25,23,13,9,0,0,7,1,69,39,24,14,8,10,13,9,2202,44,830,2000,Spain,Spain,40.463667,-3.74922,40.463667,-3.74922
